place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query,short_description
ChIJIyyMFAmJsIkRCiQamdKfXCY,Bruton Parish Church,"Active parish founded in 1674; features colonial architecture, historic pews, and notable burials.",,668,4.7,https://www.google.com/maps/search/Bruton+Parish+Church+Williamsburg,https://www.brutonparish.org/,(757) 229-2891,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 12 PM–4 PM,,,"201 Duke of Gloucester St, Williamsburg, VA 23185",,https://www.brutonparish.org/our_location,Williamsburg historic attraction,"Bruton Parish Church stands as a living link to colonial Virginia’s past, welcoming visitors with its striking 17th‑century architecture and serene churchyard. As an active parish founded in 1674, it offers insight into Williamsburg’s religious and civic heritage. Visitors can explore the historic pews, memorials, and burial grounds that hold centuries of stories. Regular services and concerts continue to make it a cornerstone of community and history."
ChIJdSgoXgGJsIkR4A85wRuv35g,The Capitol (Colonial Williamsburg),Reconstruction of Virginia’s colonial capitol where the House of Burgesses met; guided interpretation on law and liberty.,,10700,4.6,https://www.google.com/maps/search/Capitol+Building+Colonial+Williamsburg,https://www.colonialwilliamsburg.org/events/capitol/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"Colonial Williamsburg Historic Area, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/events/capitol/,Williamsburg historic attraction,The Capitol building in Colonial Williamsburg brings to life the birthplace of American democracy. Visitors can step inside the reconstructed seat of Virginia’s colonial government where debates on liberty and independence first echoed. Period interpreters and exhibits reveal the legal and political foundations of the emerging nation. Its grand Georgian architecture provides a striking reminder of Williamsburg’s role in shaping early America.
ChIJ8WhDIQCJsIkRXiFh7r5PUUg,Bassett Hall,John D. Rockefeller Jr.’s restored Williamsburg home; exhibits on the restoration of the historic town.,,300,4.8,https://www.google.com/maps/search/Bassett+Hall+Williamsburg,https://www.colonialwilliamsburg.org/gather/planning-resources/gather-venues/bassett-hall-events/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"522 E Francis St, Williamsburg, VA 23185",,https://www.virginia.org/listing/bassett-hall/4781/,Williamsburg historic attraction,"Bassett Hall, once home to John D. Rockefeller Jr. and his wife Abby, invites guests to experience the charm of early 20th‑century preservation blended with 18th‑century history. The white‑washed colonial home is surrounded by gardens and shaded paths, offering a peaceful retreat in the heart of Williamsburg. Exhibits share the Rockefellers’ vision for restoring Colonial Williamsburg, while period furnishings bring daily life to light."
ChIJVcOsAQCJsIkRXs5j4OpoKrw,Public Gaol,18th‑century jail with tales of notorious prisoners; small but atmospheric stop near the Magazine.,,211,4.7,https://www.google.com/maps/search/Public+Gaol+Williamsburg,https://www.colonialwilliamsburg.org/events/public-gaol-jail/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"461 E Nicholson St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/events/public-gaol-jail/,Williamsburg historic attraction,"The Public Gaol provides a fascinating glimpse into Williamsburg’s criminal past. Dating back to 1704, this small jail once confined pirates and revolutionaries awaiting trial. Visitors can step through its iron‑barred doors and imagine the lives of those who passed through. Engaging interpretation and preserved architecture make it one of the most atmospheric stops in Colonial Williamsburg."
EjVDb2xvbmlhbCBOYXQnbCBIaXN0b3JpY2FsIFBrd3ksIFdpbGxpYW1zYnVyZywgVkEsIFVTQSIuKiwKFAoSCed4atx2iLCJEbHbTqEUe_p2EhQKEgkbqpVEComwiRGqDhZeFzBLwQ,Magazine & Guardhouse,"Arms storage that protected the colony; interpreters discuss militia, munitions, and defense.",,27,4.3,,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/magazine/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"102 E Duke of Gloucester St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/magazine/,Williamsburg historic attraction,"The Magazine and Guardhouse capture the tension of colonial defense in pre‑Revolutionary Virginia. Built to store arms and ammunition, the site later became a rallying point for local militias. Visitors can explore the circular brick magazine and watch demonstrations of musket drills. Its central location makes it essential for understanding Williamsburg’s role in early American conflicts."
EipDb3VydGhvdXNlIFN0LCBXaWxsaWFtc2J1cmcsIFZBIDIzMTg4LCBVU0EiLiosChQKEglh4Npc0YuwiRHFfdc1d9A5QxIUChIJG6qVRAqJsIkRqg4WXhcwS8E,Courthouse of 1770,"Working colonial courthouse showcasing early Virginia law, trials, and civic life.",,141,4.5,https://www.google.com/maps/search/Courthouse+of+1770+Williamsburg,https://www.colonialwilliamsburg.org/events/courthouse/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"101 W Duke of Gloucester St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/events/courthouse/,Williamsburg historic attraction,"The Courthouse of 1770 remains a proud symbol of colonial justice and community life. Inside its red‑brick walls, visitors can witness reenactments of 18th‑century trials and civic gatherings. The building’s simple elegance reflects the practicality of Virginia’s early legal system. It continues to embody Williamsburg’s spirit of civic duty and public service."
ChIJ9atDsAuJsIkR6cpRoRR3u2A,Raleigh Tavern,Historic gathering place of patriots; interpretive site illustrating colonial dining and politics.,,191,4.5,,https://www.colonialwilliamsburg.org/events/raleigh-tavern/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"411 E Duke of Gloucester St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/events/raleigh-tavern/,Williamsburg historic attraction,"The Raleigh Tavern once served as a bustling meeting place for patriots, merchants, and travelers. Its inviting rooms and historic furnishings tell the story of colonial society and political intrigue. Visitors can walk the same floors where revolutionaries gathered to discuss independence. Guided programs combine hospitality and history in equal measure."
ChIJX3wKTAaJsIkR1u0zWnVTHWM,Ludwell-Paradise House,Fine example of early Georgian architecture associated with the prominent Ludwell family.,,37,4.4,,https://en.wikipedia.org/wiki/Ludwell%E2%80%93Paradise_House,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"207 E Duke of Gloucester St, Williamsburg, VA 23185",,https://en.wikipedia.org/wiki/Ludwell%E2%80%93Paradise_House,Williamsburg historic attraction,"The Ludwell‑Paradise House stands as one of Williamsburg’s most elegant colonial residences. Built in the early 18th century, its Georgian style and restored interiors reflect the affluence of its owners. Visitors can appreciate its symmetry and the quiet charm of Palace Green. The house remains a graceful testament to early Virginia craftsmanship."
ChIJO-c15wqJsIkRienH6U3y4s0,Wren Building (William & Mary),America’s oldest academic building in continuous use; centerpiece of the Historic Campus.,,418,4.8,,https://www.wm.edu/sites/historiccampus/wrenbuilding/,(757) 221-1570,,,,,Historic Attraction,Historic Site; Museum; Walking,Mon–Fri 10 AM–5 PM; Sat 9:30 AM–5 PM; Sun 12–5 PM,,,"111 Jamestown Rd, Williamsburg, VA 23185",,https://www.wm.edu/sites/historiccampus/wrenbuilding/,Williamsburg historic attraction,"The Wren Building, on the campus of William & Mary, is the oldest academic building still in use in the United States. Visitors can tour its historic halls, chapel, and classrooms, which have hosted scholars since the 1690s. The brick Georgian structure blends architectural beauty with educational tradition. Its enduring presence links the modern university to its colonial roots."
ChIJlW5XI3WJsIkR_7PPG4sujkM,Sunken Garden (William & Mary),Iconic green space inspired by 18th‑century designs; framed by historic campus buildings.,,87,4.2,,https://www.wm.edu/about/visiting/campusmap/location/sunken-garden.php,(757) 221-4223,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily Dawn–Dusk,,,"102 Richmond Rd, Williamsburg, VA 23185",,https://www.wm.edu/about/visiting/campusmap/location/sunken-garden.php,Williamsburg historic attraction,"The Sunken Garden offers a tranquil oasis at the center of William & Mary’s campus. Framed by stately buildings, this expansive green invites leisurely walks and quiet reflection. Visitors often see students studying or campus events unfolding on the lawn. Its symmetry and serenity make it a beloved outdoor space."
