place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJVSEmbguJsIkRrDG3AZcitto,Amber Ox Public House,"Discover a mix of eclectic, elevated and unexpected dishes -- many of which pay ode to classic Southern fare. But with a contemporary twist. We place a spotlight on crafting fresh seasonal dishes that feature the best regionally sourced produce and ingredients available. Put simply, the inspired food on our menu is prepared with finesse but no pretense.
By tapping into the rich culinary and brewing history of Virginia, we believe we have created something unique to Williamsburg. We proudly honor our past while keeping our focus on the future. It's through food and drink that we connect to our roots -- and then to each other.",,3313,4.6,"Name: Second Street American Bistro
Link: https://www.google.com/maps/search/Second+Street+American+Bistro/@37.274720699999996,-76.6870557?authuser=0&hl=en&entry=ttu
Reviews: 3796 reviews

Name: Berret's Seafood Restaurant and Taphouse Grill
Link: https://www.google.com/maps/search/Berret's+Seafood+Restaurant+and+Taphouse+Grill/@37.269825399999995,-76.7069361?authuser=0&hl=en&entry=ttu
Reviews: 2800 reviews

Name: Craft 31
Link: https://www.google.com/maps/search/Craft+31/@37.265224599999996,-76.7416468?authuser=0&hl=en&entry=ttu
Reviews: 2794 reviews

Name: Oceans & Ale
Link: https://www.google.com/maps/search/Oceans+%26+Ale/@37.2710515,-76.7568491?authuser=0&hl=en&entry=ttu
Reviews: 2410 reviews

Name: Sweet Tea & Barley
Link: https://www.google.com/maps/search/Sweet+Tea+%26+Barley/@37.268333299999995,-76.7002656?authuser=0&hl=en&entry=ttu
Reviews: 343 reviews",https://www.theamberox.com/,(757) 790-2299,,Amber Ox Public House (Owner),https://www.google.com/maps/contrib/116258607357810217143,https://lh3.googleusercontent.com/p/AF1QipMbQkrMmjikXzI_SHwjphKCASME7LhnG6uRqiPM=s1024,American restaurant,"American restaurant, Brunch restaurant, Restaurant, Southern restaurant (US)",11:30 AM-9 PM,,Tuesday,"525 Prince George St Suite 102, Williamsburg, VA 23185","shrimp and grits, poutine, brews, pimento cheese, brewery, farm to table, smoked wings, chocolate pudding, pork meatballs, benedict burger",https://www.google.com/maps/place/Amber+Ox+Public+House/data=!4m7!3m6!1s0x89b0890b6e262155:0xdab6229701b731ac!8m2!3d37.272807!4d-76.708522!16s%2Fg%2F11dzts6r9h!19sChIJVSEmbguJsIkRrDG3AZcitto?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJg9lE_1yJsIkRXYeDdCP-Lwo,Food For Thought,"Food For Thought is a family restaurant in Williamsburg, Virginia, that's as engaging for the mind as it is for the senses. Surrounded by quotes and images of inventors, scientists, and social leaders, our atmosphere aims to inspire families and encourage discussion over wholesome, delicious food.
Food For Thought's menu is as diverse as the great thinkers themselves. Our diner's choices vary from American classics, ethnic dishes, healthy vegetarian options, or one of our nightly seafood specialties. The foundation of our menu is built upon American staples like our famous Fork Tender Pot Roast, Grandma's Meatloaf, and ""fall off the bones"" ribs. America grew up on these meals, and we love paying homage to our country's past. To complement t",,7492,4.7,"Name: Fat Tuna Grill & Oyster House
Link: https://www.google.com/maps/search/Fat+Tuna+Grill+%26+Oyster+House/@37.2887541,-76.721779?authuser=0&hl=en&entry=ttu
Reviews: 5390 reviews

Name: Amber Ox Public House
Link: https://www.google.com/maps/search/Amber+Ox+Public+House/@37.272807,-76.708522?authuser=0&hl=en&entry=ttu
Reviews: 3312 reviews

Name: Another Broken Egg Cafe
Link: https://www.google.com/maps/search/Another+Broken+Egg+Cafe/@37.2869934,-76.7221533?authuser=0&hl=en&entry=ttu
Reviews: 2479 reviews

Name: Fat Canary
Link: https://www.google.com/maps/search/Fat+Canary/@37.2706514,-76.70611170000001?authuser=0&hl=en&entry=ttu
Reviews: 689 reviews

Name: Culture Cafe
Link: https://www.google.com/maps/search/Culture+Cafe/@37.2740024,-76.71216729999999?authuser=0&hl=en&entry=ttu
Reviews: 605 reviews",https://www.foodforthoughtrestaurant.com/,(757) 645-4665,,Food For Thought (Owner),https://www.google.com/maps/contrib/108910650131865273405,https://lh3.googleusercontent.com/p/AF1QipP5DMF31ZTg0Tt80B4eMbrgVhy332fawXqqaafQ=s1024,Restaurant,"Restaurant, American restaurant",11 AM-8:30 PM,,Open All Days,"1647 Richmond Rd, Williamsburg, VA 23185","pot roast, crab cake, meatloaf, shrimp and grits, bread pudding, creamed spinach, fast fourier transform, nutty chicken, cilantro lime chicken, apple nachos",https://www.google.com/maps/place/Food+For+Thought/data=!4m7!3m6!1s0x89b0895cff44d983:0xa2ffe237483875d!8m2!3d37.2943961!4d-76.724611!16s%2Fg%2F1tkf1vxy!19sChIJg9lE_1yJsIkRXYeDdCP-Lwo?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJ57LHOGyIsIkR0AYxL5c3lLQ,Le Yaca French Restaurant,Traditional French cuisine & wine served in a refined dining room with a fireplace & patio seating.,,1557,4.7,"Name: Food For Thought
Link: https://www.google.com/maps/search/Food+For+Thought/@37.2943961,-76.724611?authuser=0&hl=en&entry=ttu
Reviews: 7490 reviews

Name: Amber Ox Public House
Link: https://www.google.com/maps/search/Amber+Ox+Public+House/@37.272807,-76.708522?authuser=0&hl=en&entry=ttu
Reviews: 3312 reviews

Name: Blue Talon Bistro
Link: https://www.google.com/maps/search/Blue+Talon+Bistro/@37.2720392,-76.7067197?authuser=0&hl=en&entry=ttu
Reviews: 1626 reviews

Name: Fat Canary
Link: https://www.google.com/maps/search/Fat+Canary/@37.2706514,-76.70611170000001?authuser=0&hl=en&entry=ttu
Reviews: 689 reviews

Name: Cochon on 2nd
Link: https://www.google.com/maps/search/Cochon+on+2nd/@37.273104,-76.684489?authuser=0&hl=en&entry=ttu
Reviews: 573 reviews",http://leyacawilliamsburg.org/,(757) 220-3616,,Le Yaca French Restaurant (Owner),https://www.google.com/maps/contrib/114103752791435572663,https://lh3.googleusercontent.com/p/AF1QipMXxa44chb7_xtN4Vq0I5qeHp7GidvW54mDDjec=s1024,French restaurant,French restaurant,11:30 AM-9 PM,,Monday,"1430 High St, Williamsburg, VA 23188","french onion soup, brunch, anniversary, crab cake, lobster, salmon, scallops, 5 course, halibut, beef wellington",https://www.google.com/maps/place/Le+Yaca+French+Restaurant/data=!4m7!3m6!1s0x89b0886c38c7b2e7:0xb49437972f3106d0!8m2!3d37.2883703!4d-76.7240977!16s%2Fg%2F1w2y_9xx!19sChIJ57LHOGyIsIkR0AYxL5c3lLQ?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJccVRYf2IsIkRJIcSuxJ4998,Second Street American Bistro,"Upscale Casual...without being uppity!

""Second Street is marked by a menu full of unique and delicious culinary twists, stunning decor throughout, a comfortable atmosphere, and a fresh upscale vibe unmatched in Williamsburg and Newport News.""
We are not a reservation-based establishment and offer seating on a first-come, first-served basis for all patrons. Our Williamsburg location does not offer reservations unless during lunch and early dinner (before 5:30 PM) for parties of 8 or more.
Our Newport News location features a Private Dining Room, and due to this difference, we offer limited reservations for larger, private parties. Call directly to check availability and learn more about the booking process.",,3796,4.6,"Name: Amber Ox Public House
Link: https://www.google.com/maps/search/Amber+Ox+Public+House/@37.272807,-76.708522?authuser=0&hl=en&entry=ttu
Reviews: 3312 reviews

Name: Craft 31
Link: https://www.google.com/maps/search/Craft+31/@37.265224599999996,-76.7416468?authuser=0&hl=en&entry=ttu
Reviews: 2794 reviews

Name: DoG Street Pub
Link: https://www.google.com/maps/search/DoG+Street+Pub/@37.2711628,-76.7059891?authuser=0&hl=en&entry=ttu
Reviews: 2386 reviews

Name: Fat Canary
Link: https://www.google.com/maps/search/Fat+Canary/@37.2706514,-76.70611170000001?authuser=0&hl=en&entry=ttu
Reviews: 689 reviews

Name: Cochon on 2nd
Link: https://www.google.com/maps/search/Cochon+on+2nd/@37.273104,-76.684489?authuser=0&hl=en&entry=ttu
Reviews: 573 reviews",https://secondst.com/,(757) 220-2286,,Second Street American Bistro (Owner),https://www.google.com/maps/contrib/118370482197546473996,https://lh3.googleusercontent.com/p/AF1QipN1vjiG7NrKueM2_BLlL1Cy0j2OaeJ5wHyqDkHa=s1024,American restaurant,"American restaurant, Bar, Bistro, Restaurant",11:30 AM-9 PM,,Monday,"140 2nd St, Williamsburg, VA 23185","french onion soup, lasagna, carrot cake, bison meatloaf, grit cakes, salmon burger, busch gardens, bistro steak, corn chowder, colonial williamsburg",https://www.google.com/maps/place/Second+Street+American+Bistro/data=!4m7!3m6!1s0x89b088fd6151c571:0xdff77812bb128724!8m2!3d37.2747207!4d-76.6870557!16s%2Fg%2F1tfp3b24!19sChIJccVRYf2IsIkRJIcSuxJ4998?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJCf0ebPSJsIkRslsv3w4_5w4,"Super Chix - Williamsburg, VA","Premium never-frozen chicken, fresh cut fries seasoned on the spot and hand made custard churned in house daily. No MSG, preservatives, artificial colors or dyes. Cooked or prepared to order. We are Super Chix. Come get obsessed!",,701,4.7,"Name: Craft 31
Link: https://www.google.com/maps/search/Craft+31/@37.265224599999996,-76.7416468?authuser=0&hl=en&entry=ttu
Reviews: 2794 reviews

Name: Rick's Cheese Steak Shop
Link: https://www.google.com/maps/search/Rick's+Cheese+Steak+Shop/@37.2734109,-76.7092104?authuser=0&hl=en&entry=ttu
Reviews: 2018 reviews

Name: Cook's Burger Bar
Link: https://www.google.com/maps/search/Cook's+Burger+Bar/@37.2808785,-76.7202145?authuser=0&hl=en&entry=ttu
Reviews: 617 reviews

Name: Corey's Chicken Shack
Link: https://www.google.com/maps/search/Corey's+Chicken+Shack/@37.310075,-76.7323756?authuser=0&hl=en&entry=ttu
Reviews: 357 reviews

Name: Munchies Southern Soul
Link: https://www.google.com/maps/search/Munchies+Southern+Soul/@37.307432899999995,-76.75028979999999?authuser=0&hl=en&entry=ttu
Reviews: 133 reviews",https://www.superchix.com/,(757) 585-2475,,"Super Chix - Williamsburg, VA (Owner)",https://www.google.com/maps/contrib/111752207937417916499,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np55785PdRJlualNwKSSFy2zIbVUOjkYBTAINLfpShfZKvjZLgJ3SJXy3LObB74cO427WT7-Aj1iUH_5Gd7jo_gTbPbI3Wzmqxcf9tWkVn-DITxGUGswIc4MFTxEYh2iqUrid4Naw=s1024,Chicken restaurant,Chicken restaurant,11 AM-9 PM,,Open All Days,"200 College Row Unit 3119, Williamsburg, VA 23185","chicken sandwich, custard, rosemary, nashville hot, bar, cajun fries, chicken cordon bleu, avocado, loaded fries, kids meal","https://www.google.com/maps/place/Super+Chix+-+Williamsburg,+VA/data=!4m7!3m6!1s0x89b089f46c1efd09:0xee73f0edf2f5bb2!8m2!3d37.2805813!4d-76.7213605!16s%2Fg%2F11twj374m7!19sChIJCf0ebPSJsIkRslsv3w4_5w4?authuser=0&hl=en&rclk=1",places to eat in williamsburg virginia
ChIJlwPIRAqJsIkRS19r9wH0Gdw,Berret's Seafood Restaurant and Taphouse Grill,"Since 1983, Berret's Seafood Restaurant and Taphouse Grill has offered guests two charming dining options. Enjoy indoor dining inside what used to be a gas station or opt for the casual outdoor area in the Taphouse Grill. We are Located in Merchants Square, one block from the Historic Area of Colonial Williamsburg and across from the College of William & Mary. Berret's is open daily, offering inside and outside dining, from 11:30 a.m. to 8:30 p.m.",,2801,4.5,"Name: Captain George's Seafood Restaurant
Link: https://www.google.com/maps/search/Captain+George's+Seafood+Restaurant/@37.3109448,-76.7323487?authuser=0&hl=en&entry=ttu
Reviews: 11816 reviews

Name: Fat Tuna Grill & Oyster House
Link: https://www.google.com/maps/search/Fat+Tuna+Grill+%26+Oyster+House/@37.2887541,-76.721779?authuser=0&hl=en&entry=ttu
Reviews: 5390 reviews

Name: Amber Ox Public House
Link: https://www.google.com/maps/search/Amber+Ox+Public+House/@37.272807,-76.708522?authuser=0&hl=en&entry=ttu
Reviews: 3312 reviews

Name: Oceans & Ale
Link: https://www.google.com/maps/search/Oceans+%26+Ale/@37.2710515,-76.7568491?authuser=0&hl=en&entry=ttu
Reviews: 2410 reviews

Name: Waypoint Seafood & Grill
Link: https://www.google.com/maps/search/Waypoint+Seafood+%26+Grill/@37.248787199999995,-76.68630929999999?authuser=0&hl=en&entry=ttu
Reviews: 792 reviews",http://www.berrets.com/,(757) 253-1847,,Berret's Seafood Restaurant and Taphouse Grill (Owner),https://www.google.com/maps/contrib/100330082902967418378,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqO-jFDFvsapYbBRUqqctf8x9R3v_OmoUpTPzLbjz4qg59e4QqMd59UI6JOZo4fekIobrYK8gDvOpIfF2H_0HgMXiqaHlh_gh21kl_dAtSo9gumrv4XPF2tJI9kQ7NHnY3fFap4=s1024,Seafood restaurant,"Seafood restaurant, American restaurant, Bar & grill",11:30 AM-8:30 PM,,Open All Days,"199 S Boundary St, Williamsburg, VA 23185","crab cakes, she crab soup, crab dip, blue plate special, oysters rockefeller, parchment, cobbler, brie, crab puffs, salmon quesadilla",https://www.google.com/maps/place/Berret%27s+Seafood+Restaurant+and+Taphouse+Grill/data=!4m7!3m6!1s0x89b0890a44c80397:0xdc19f401f76b5f4b!8m2!3d37.2698254!4d-76.7069361!16s%2Fg%2F1tkjm1y1!19sChIJlwPIRAqJsIkRS19r9wH0Gdw?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJ-ytyfGiJsIkR0gah545ImyQ,Fat Tuna Grill & Oyster House,"Words from the Chef,

We strive to find the freshest, and most Local sustainable ingredients available.
Farm to table, Sea to plate!",,5393,4.4,"Name: Captain George's Seafood Restaurant
Link: https://www.google.com/maps/search/Captain+George's+Seafood+Restaurant/@37.3109448,-76.7323487?authuser=0&hl=en&entry=ttu
Reviews: 11816 reviews

Name: Berret's Seafood Restaurant and Taphouse Grill
Link: https://www.google.com/maps/search/Berret's+Seafood+Restaurant+and+Taphouse+Grill/@37.269825399999995,-76.7069361?authuser=0&hl=en&entry=ttu
Reviews: 2800 reviews

Name: Oceans & Ale
Link: https://www.google.com/maps/search/Oceans+%26+Ale/@37.2710515,-76.7568491?authuser=0&hl=en&entry=ttu
Reviews: 2410 reviews

Name: Waypoint Seafood & Grill
Link: https://www.google.com/maps/search/Waypoint+Seafood+%26+Grill/@37.248787199999995,-76.68630929999999?authuser=0&hl=en&entry=ttu
Reviews: 792 reviews

Name: Fat Canary
Link: https://www.google.com/maps/search/Fat+Canary/@37.2706514,-76.70611170000001?authuser=0&hl=en&entry=ttu
Reviews: 689 reviews",http://www.fattunagrill.com/,(757) 903-2811,,Fat Tuna Grill & Oyster House (Owner),https://www.google.com/maps/contrib/100499477115374593066,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4nWH4aHPYWKTxrLGHjRYxosod40-kTVKN53epc_6qr7E2LAnJEYreYKz48xZk10GFVVDHsdPliCHOw5JBKQIhfxkcrxP1aPfk8aeA_vXufGMCPFcYTJKMmVhwgAbDcFodkp_L=s1024,Seafood restaurant,"Seafood restaurant, Restaurant",11 AM-10 PM,,Open All Days,"1433 Richmond Rd, Williamsburg, VA 23185","flounder, cornbread, she crab soup, shrimp and grits, shrimp and scallop pasta, crab ravioli, sesame tuna, seafood bruschetta, jellyfish, corn muffins",https://www.google.com/maps/place/Fat+Tuna+Grill+%26+Oyster+House/data=!4m7!3m6!1s0x89b089687c722bfb:0x249b488ee7a106d2!8m2!3d37.2887541!4d-76.721779!16s%2Fg%2F1q662l5k_!19sChIJ-ytyfGiJsIkR0gah545ImyQ?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJ95TFoQiJsIkRN2AkgAnB47o,King's Arms Tavern,"Originally opened by Jane Vobe in 1772, this authentic reproduction dining tavern serves up a transporting experience for the senses in Colonial Williamsburg. Everything is true to the time period at King's Arms Tavern, from the fashion sported by servers to the pewter candlesticks--all adding to an air of colonial elegance. Inspired by 18th-century recipes, but with updates to suit 21st-century tastes, tuck into a chophouse menu featuring prime rib, pork chops, and more.",,1987,4.6,"Name: Amber Ox Public House
Link: https://www.google.com/maps/search/Amber+Ox+Public+House/@37.272807,-76.708522?authuser=0&hl=en&entry=ttu
Reviews: 3312 reviews

Name: DoG Street Pub
Link: https://www.google.com/maps/search/DoG+Street+Pub/@37.2711628,-76.7059891?authuser=0&hl=en&entry=ttu
Reviews: 2386 reviews

Name: Chowning's Garden Bar
Link: https://www.google.com/maps/search/Chowning's+Garden+Bar/@37.2714667,-76.6991949?authuser=0&hl=en&entry=ttu
Reviews: 1897 reviews

Name: Christiana Campbell's Tavern
Link: https://www.google.com/maps/search/Christiana+Campbell's+Tavern/@37.271653,-76.6914125?authuser=0&hl=en&entry=ttu
Reviews: 844 reviews

Name: The Hound's Tale
Link: https://www.google.com/maps/search/The+Hound's+Tale/@37.2726361,-76.7081525?authuser=0&hl=en&entry=ttu
Reviews: 608 reviews",https://www.colonialwilliamsburg.org/stay-play/dining/historic-taverns/kings-arms-tavern/,(855) 240-3278,,King's Arms Tavern (Owner),https://www.google.com/maps/contrib/100552492405346757449,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noiaaSFXDgoeU4AmNm4h0_ZUh1nuFnlWED42FIwqYXTqQPUEs4ClGYMi0mRHUGP2zIM5r_Ih4xWr27KfW0cwSPOvk1I-kqmZVFzoKr7qOCGk6nwseFdVyzf6ZuJarQMniz_X3xe=s1024,Restaurant,"Restaurant, Fine dining restaurant","11 AM-2 PM, 4:30-8 PM",,"Tuesday, Wednesday","416 E Duke of Gloucester St, Williamsburg, VA 23185","peanut soup, prime rib, 18th century, bread pudding, game pie, snow egg, syllabub, onion pie, punch bowl, chicken hash",https://www.google.com/maps/place/King%27s+Arms+Tavern/data=!4m7!3m6!1s0x89b08908a1c594f7:0xbae3c10980246037!8m2!3d37.2712789!4d-76.6954215!16s%2Fg%2F1tfgf32x!19sChIJ95TFoQiJsIkRN2AkgAnB47o?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJt9I0mCqJsIkRP5kNiCxW4Ds,Another Broken Egg Cafe,"At Another Broken Egg Cafe of Williamsburg, our passion is to create exceptional southern-inspired entrees for breakfast, brunch, and lunch as well as hand-crafted cocktails that are each ""craveably"" delicious and made with an artisanal flair!",,2496,4.5,"Name: Colonial Pancake House
Link: https://www.google.com/maps/search/Colonial+Pancake+House/@37.2737428,-76.68894259999999?authuser=0&hl=en&entry=ttu
Reviews: 2911 reviews

Name: Southern Pancake & Waffle House
Link: https://www.google.com/maps/search/Southern+Pancake+%26+Waffle+House/@37.2926548,-76.72374169999999?authuser=0&hl=en&entry=ttu
Reviews: 2270 reviews

Name: Not Another Pancake House
Link: https://www.google.com/maps/search/Not+Another+Pancake+House/@37.2960869,-76.72558049999999?authuser=0&hl=en&entry=ttu
Reviews: 1432 reviews

Name: The Smokey Griddle Pancake House
Link: https://www.google.com/maps/search/The+Smokey+Griddle+Pancake+House/@37.3015949,-76.7272794?authuser=0&hl=en&entry=ttu
Reviews: 1346 reviews

Name: Tipsy Beans Cafe
Link: https://www.google.com/maps/search/Tipsy+Beans+Caf%C3%A9/@37.2883411,-76.72461659999999?authuser=0&hl=en&entry=ttu
Reviews: 1151 reviews",https://www.anotherbrokenegg.com/locations/williamsburg-va/,(757) 808-6532,,Another Broken Egg Cafe (Owner),https://www.google.com/maps/contrib/114359181671105323934,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdw_DG-edR0D1A29xDaTGDqBKiam6TEUIVaDuN1AL3-RPtTEh-bLN5yo82WMEzRzu7pbAHU7uHcMXxsuu7UqnEWB02THZbk2EtIW6rjbhbF85QmLS5w9GXpAniiABC7BKURgTNk71q6us=s1024,Brunch restaurant,"Brunch restaurant, Breakfast restaurant, Lunch restaurant",7 AM-2 PM,,Open All Days,"1412 Richmond Rd, Williamsburg, VA 23185","city grits, shrimp and grits, bourbon, beignets, cinnamon roll french toast, mardi gras, hash brown benedict, apple fritter, andouille sausage, crawfish",https://www.google.com/maps/place/Another+Broken+Egg+Cafe/data=!4m7!3m6!1s0x89b0892a9834d2b7:0x3be0562c880d993f!8m2!3d37.2869934!4d-76.7221533!16s%2Fg%2F11r4z9wx1_!19sChIJt9I0mCqJsIkRP5kNiCxW4Ds?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
ChIJF1ZUNG6JsIkRc4UzJ3BO7H8,Sal's By Victor,"FAMOUS ITALIAN FOOD IN WILLIAMSBURG - FOR GOOD REASON! Come dine at Sal's!

Come and see for yourself why Sal's is a favorite for both locals and visitors of Viginia's Historic Triangle. Our huge menu of Italian favorites is sure to please every taste so make your plans to visit Sal's today!",,3969,4.5,"Name: Anna's Brick Oven Pizza-Pasta
Link: https://www.google.com/maps/search/Anna's+Brick+Oven+Pizza-Pasta/@37.2996826,-76.7268284?authuser=0&hl=en&entry=ttu
Reviews: 1465 reviews

Name: Antonio's Ristorante Italiano
Link: https://www.google.com/maps/search/Antonio's+Ristorante+Italiano/@37.268581399999995,-76.67543479999999?authuser=0&hl=en&entry=ttu
Reviews: 1198 reviews

Name: Francesco's Ristorante Italiano
Link: https://www.google.com/maps/search/Francesco's+Ristorante+Italiano/@37.3430568,-76.75544169999999?authuser=0&hl=en&entry=ttu
Reviews: 1038 reviews

Name: Tuscany Ristorante Williamsburg
Link: https://www.google.com/maps/search/Tuscany+Ristorante+Williamsburg/@37.3065038,-76.7507074?authuser=0&hl=en&entry=ttu
Reviews: 694 reviews

Name: Chanello's Pizza
Link: https://www.google.com/maps/search/Chanello's+Pizza/@37.2866213,-76.7219504?authuser=0&hl=en&entry=ttu
Reviews: 674 reviews",http://www.salsbyvictor.com/,(757) 220-2641,,Sal's By Victor (Owner),https://www.google.com/maps/contrib/114252956224783940837,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nobEjYLpmhA9h3YXuSetUgYcWVC_t71G2ZRq-pfTvpyHheKDXcYgZML2pjJ9eI6pbboyvQmIwO-aSzRBAaJk6YMSdXUfQjpewC2hTDkGVFlgab1XDIHO9f-vjM7uM4m0DLgd7ir6pEtqR0R=s1024,Italian restaurant,"Italian restaurant, European restaurant, Pizza restaurant",11 AM-11 PM,,Open All Days,"1242 Richmond Rd, Williamsburg, VA 23188","sub, stromboli, cheesesteak, white pizza, paintings, strip mall, lobster ravioli, baked ziti, busch gardens, smoked chicken",https://www.google.com/maps/place/Sal%27s+By+Victor/data=!4m7!3m6!1s0x89b0896e34545617:0x7fec4e7027338573!8m2!3d37.280632!4d-76.7204437!16s%2Fg%2F1td2_b2t!19sChIJF1ZUNG6JsIkRc4UzJ3BO7H8?authuser=0&hl=en&rclk=1,places to eat in williamsburg virginia
